,,1,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,,,50,51,52,53,54,55,56,57,58,59,60,,,,1,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,Salvia sclareoides Brot.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,,,Arisarum simorrhinum Durieu [sub],+,1,+,+,.,1,.,1,.,1,.,,,,,,h,Dactylis glomerata L.,.,.,.,.,.,+,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,(+),+,.,+,.
,,,,,Calamintha nepeta (L.) Savi [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,Arbutus unedo L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Daphne gnidium L.,+,1,.,.,.,r,r,+,.,+,.,+,+,.,1,r,.,1,.,.,.,.,+,.,+,+,+
,,,,,Sedum sediforme (Jacq.) Pau,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,Phillyrea angustifolia L.,.,.,.,.,.,.,.,.,.,+,.,,,,,,h,Digitalis purpurea L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+
,,,,,Serratula flavescens (L.) Poir. subsp. leucantha (Cav.) Cantó & Costa [sub],.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,,,Lonicera implexa Aiton,+,+,1,.,1,.,.,.,.,.,.,,,,,,h,Echium albicans Lag. & Rodr.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,Thapsia villosa L.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,Anemone palmata L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Elaeoselinum foetidum (L.) Boiss.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,(+),+,.,.,+
,,,,,Thymbra capitata (L.) Cav.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,Jasminum fruticans L.,.,.,.,1,.,+,.,.,.,.,.,,,,,,a,Ephedra fragilis Desf.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,Tulipa sylvestris L. subsp. australis (Link) Pamp. [sub],.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,Teucrium fruticans L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Erica arborea L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,2,.,.
,,,,,Ulex argenteus Welw. ex Webb,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,+,,,Phillyrea latifolia L. [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Erodium sp.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Pistacia lentiscus L.,+,1,2,+,+,.,3,2,1,2,3,,,,,,h,Erophaca baetica (L.) Boiss.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Quercus coccifera L.,+,.,.,.,1,.,1,+,1,2,2,,,,,,h,Erucastrum virgatum C. Presl subsp. baeticum (Boiss.) Gómez Campo,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.
